GEO Region,Activity Period,Passenger Count
Europe,201901,254505
US,201903,3449863
Canada,201908,235548
Australia / Oceania,201909,67394
Canada,201901,102943
Australia / Oceania,201904,71637
Middle East,201902,36806
Australia / Oceania,201905,71669
Central America,201903,29543
Europe,201908,478679
Mexico,201902,87101
Canada,201906,216140
Asia,201903,474565
Mexico,201905,104668
Middle East,201905,45314
Europe,201906,458267
Australia / Oceania,201902,72566
Mexico,201909,72449
Mexico,201904,103300
Middle East,201904,41308
Middle East,201909,46475
Canada,201905,163609
Canada,201909,186610
Canada,201904,134024
Australia / Oceania,201901,88354
Asia,201907,528414
Europe,201905,411071
Middle East,201906,50729
Australia / Oceania,201908,76309
Mexico,201906,127620
Europe,201904,361647
Europe,201909,444038
Mexico,201901,111092
Central America,201907,33480
Middle East,201901,37112
Canada,201902,110540
Middle East,201908,52604
US,201907,4081947
Europe,201902,228925
Mexico,201908,111817
Australia / Oceania,201906,76751
Central America,201908,28907
Europe,201903,286725
US,201901,3008022
Asia,201906,531929
Middle East,201907,52746
US,201908,4228225
Central America,201901,34232
Mexico,201907,133392
Canada,201903,127183
Central America,201906,33081
Asia,201908,530348
Asia,201901,520561
US,201906,3972171
Australia / Oceania,201907,79254
Australia / Oceania,201903,83828
Asia,201902,425443
Central America,201905,30363
Central America,201909,27751
Central America,201904,29186
US,201909,3192185
US,201904,3488572
US,201905,3665783
Asia,201909,434506
Asia,201904,463267
Canada,201907,230754
Mexico,201903,107210
Central America,201902,28197
Asia,201905,515524
Middle East,201903,40272
US,201902,2763185
Europe,201907,472325
